"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0030856","regulation of epithelial cell differentiation",65,2,0.0393081761006289,50.88,0.000599393010788596,0.179463281095565,"1499;9839","ENSG00000169554;ENSG00000168036","geneontology_Biological_Process_noRedundant"
"GO:0021953","central nervous system neuron differentiation",77,2,0.0465650701499758,42.9506493506493,0.000840729561751852,0.179463281095565,"1499;9839","ENSG00000169554;ENSG00000168036","geneontology_Biological_Process_noRedundant"
"GO:0061351","neural precursor cell proliferation",81,2,0.0489840348330914,40.8296296296296,0.000930046554801889,0.179463281095565,"1499;9839","ENSG00000169554;ENSG00000168036","geneontology_Biological_Process_noRedundant"
"GO:0030323","respiratory tube development",87,2,0.0526124818577649,38.0137931034483,0.00107229360820371,0.179463281095565,"1499;7067","ENSG00000126351;ENSG00000168036","geneontology_Biological_Process_noRedundant"
"GO:0035148","tube formation",88,2,0.0532172230285438,37.5818181818182,0.00109696382087754,0.179463281095565,"1499;9839","ENSG00000169554;ENSG00000168036","geneontology_Biological_Process_noRedundant"
"GO:0060541","respiratory system development",98,2,0.0592646347363329,33.7469387755102,0.00135872479214116,0.182083892659882,"1499;7067","ENSG00000126351;ENSG00000168036","geneontology_Biological_Process_noRedundant"
"GO:0048705","skeletal system morphogenesis",105,2,0.0634978229317852,31.4971428571429,0.00155817512056133,0.182083892659882,"1499;7067","ENSG00000126351;ENSG00000168036","geneontology_Biological_Process_noRedundant"
"GO:0060560","developmental growth involved in morphogenesis",125,2,0.0755926463473633,26.4576,0.00220094472600685,0.206419507960316,"1499;9839","ENSG00000169554;ENSG00000168036","geneontology_Biological_Process_noRedundant"
"GO:0061448","connective tissue development",127,2,0.0768021286889211,26.0409448818898,0.00227111928073698,0.206419507960316,"1499;7067","ENSG00000126351;ENSG00000168036","geneontology_Biological_Process_noRedundant"
"GO:0060485","mesenchyme development",135,2,0.0816400580551524,24.4977777777778,0.00256245915176234,0.20960915861416,"1499;9839","ENSG00000169554;ENSG00000168036","geneontology_Biological_Process_noRedundant"
"GO:0009755","hormone-mediated signaling pathway",145,2,0.0876874697629415,22.808275862069,0.00295045629135948,0.21940665875746,"1499;7067","ENSG00000126351;ENSG00000168036","geneontology_Biological_Process_noRedundant"
"GO:0048880","sensory system development",169,2,0.102201257861635,19.5692307692308,0.00398849270833668,0.238060226324951,"1499;9839","ENSG00000169554;ENSG00000168036","geneontology_Biological_Process_noRedundant"
"GO:0006352","DNA-templated transcription, initiation",179,2,0.108248669569424,18.4759776536313,0.00446502586957387,0.238060226324951,"1499;7067","ENSG00000126351;ENSG00000168036","geneontology_Biological_Process_noRedundant"
"GO:0001503","ossification",190,2,0.114900822447992,17.4063157894737,0.00501877301523623,0.238060226324951,"1499;7067","ENSG00000126351;ENSG00000168036","geneontology_Biological_Process_noRedundant"
"GO:0007389","pattern specification process",195,2,0.117924528301887,16.96,0.00528064488155544,0.238060226324951,"1499;9839","ENSG00000169554;ENSG00000168036","geneontology_Biological_Process_noRedundant"
"GO:0030522","intracellular receptor signaling pathway",195,2,0.117924528301887,16.96,0.00528064488155544,0.238060226324951,"1499;7067","ENSG00000126351;ENSG00000168036","geneontology_Biological_Process_noRedundant"
