"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0044091","membrane biogenesis",21,2,0.0884112563704853,22.6215538847118,0.00344617251033796,1,"2319;9863","ENSG00000187391;ENSG00000132589","geneontology_Biological_Process_noRedundant"
"GO:0051271","negative regulation of cellular component movement",170,4,0.715710170618214,5.58885448916409,0.00544337771427128,1,"4163;5054;9863;23143","ENSG00000106366;ENSG00000136141;ENSG00000171444;ENSG00000187391","geneontology_Biological_Process_noRedundant"
"GO:0040013","negative regulation of locomotion",178,4,0.749390649235542,5.33767001774098,0.00639794077350331,1,"4163;5054;9863;23143","ENSG00000106366;ENSG00000136141;ENSG00000171444;ENSG00000187391","geneontology_Biological_Process_noRedundant"
"GO:0051653","spindle localization",36,2,0.151562153777975,13.1959064327485,0.0099362929403668,1,"1778;54820","ENSG00000197102;ENSG00000072864","geneontology_Biological_Process_noRedundant"
"GO:0045445","myoblast differentiation",38,2,0.159982273432307,12.5013850415512,0.0110292607997523,1,"2319;3475","ENSG00000006652;ENSG00000132589","geneontology_Biological_Process_noRedundant"
"GO:0034404","nucleobase-containing small molecule biosynthetic process",130,3,0.547307777531575,5.48137651821862,0.017060927213453,1,"1267;1503;11165","ENSG00000173786;ENSG00000272325;ENSG00000171793","geneontology_Biological_Process_noRedundant"
"GO:1901293","nucleoside phosphate biosynthetic process",256,4,1.07777531575449,3.71134868421053,0.0219073971111569,1,"159;1503;10135;50808","ENSG00000147853;ENSG00000035687;ENSG00000105835;ENSG00000171793","geneontology_Biological_Process_noRedundant"
"GO:0030705","cytoskeleton-dependent intracellular transport",153,3,0.644139153556393,4.65737874097007,0.0261307124780168,1,"1778;2319;54820","ENSG00000197102;ENSG00000132589;ENSG00000072864","geneontology_Biological_Process_noRedundant"
"GO:1904019","epithelial cell apoptotic process",61,2,0.256813649457124,7.78774805867127,0.0270248280360962,1,"3856;5054","ENSG00000106366;ENSG00000170421","geneontology_Biological_Process_noRedundant"
"GO:0009791","post-embryonic development",62,2,0.26102370928429,7.66213921901528,0.0278525196230723,1,"1717;7915","ENSG00000172893;ENSG00000112294","geneontology_Biological_Process_noRedundant"
"GO:0006898","receptor-mediated endocytosis",159,3,0.669399512519388,4.48162859980139,0.0288497391163205,1,"5054;9260;9863","ENSG00000106366;ENSG00000196923;ENSG00000187391","geneontology_Biological_Process_noRedundant"
"GO:0002237","response to molecule of bacterial origin",161,3,0.67781963217372,4.42595619483491,0.0297885010359975,1,"1267;4792;5054","ENSG00000173786;ENSG00000106366;ENSG00000100906","geneontology_Biological_Process_noRedundant"
"GO:0050000","chromosome localization",65,2,0.273653888765788,7.3085020242915,0.0303963536061744,1,"1778;54820","ENSG00000197102;ENSG00000072864","geneontology_Biological_Process_noRedundant"
"GO:0048511","rhythmic process",173,3,0.728340350099712,4.11895345299665,0.0357599539593305,1,"5054;8204;10135","ENSG00000106366;ENSG00000105835;ENSG00000180530","geneontology_Biological_Process_noRedundant"
"GO:0050817","coagulation",177,3,0.745180589408376,4.02586975914362,0.0378787958328783,1,"2677;5054;50808","ENSG00000106366;ENSG00000115486;ENSG00000147853","geneontology_Biological_Process_noRedundant"
"GO:0043648","dicarboxylic acid metabolic process",75,2,0.315754487037447,6.3340350877193,0.0395056049436981,1,"159;7915","ENSG00000035687;ENSG00000112294","geneontology_Biological_Process_noRedundant"
