"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0001101","response to acid chemical",195,3,0.108021271881232,27.7723076923077,9.61800980017191e-05,0.0791562206554148,"1728;2730;2950","ENSG00000023909;ENSG00000084207;ENSG00000181019","geneontology_Biological_Process_noRedundant"
"GO:0031667","response to nutrient levels",302,3,0.167294482605805,17.9324503311258,0.000352785674814782,0.110659006829796,"1728;2730;2950","ENSG00000023909;ENSG00000084207;ENSG00000181019","geneontology_Biological_Process_noRedundant"
"GO:0006979","response to oxidative stress",316,3,0.175049855971637,17.1379746835443,0.000403374265479206,0.110659006829796,"1728;2730;2950","ENSG00000023909;ENSG00000084207;ENSG00000181019","geneontology_Biological_Process_noRedundant"
"GO:0032355","response to estradiol",70,2,0.0387768668291602,51.5771428571429,0.000584045235288322,0.120167307160572,"1728;2950","ENSG00000084207;ENSG00000181019","geneontology_Biological_Process_noRedundant"
"GO:0097305","response to alcohol",121,2,0.0670285840904055,29.8380165289256,0.00173592582093873,0.224273787025393,"1728;2950","ENSG00000084207;ENSG00000181019","geneontology_Biological_Process_noRedundant"
"GO:0006575","cellular modified amino acid metabolic process",122,2,0.0675825393308221,29.5934426229508,0.00176446418501242,0.224273787025393,"2730;2950","ENSG00000023909;ENSG00000084207","geneontology_Biological_Process_noRedundant"
"GO:0009410","response to xenobiotic stimulus",139,2,0.0769997784179038,25.9741007194245,0.00228409103392524,0.224273787025393,"1728;2950","ENSG00000084207;ENSG00000181019","geneontology_Biological_Process_noRedundant"
"GO:0097191","extrinsic apoptotic signaling pathway",145,2,0.0803235098604033,24.8993103448276,0.00248294989469144,0.224273787025393,"2730;2950","ENSG00000023909;ENSG00000084207","geneontology_Biological_Process_noRedundant"
"GO:0009743","response to carbohydrate",146,2,0.0808774651008198,24.7287671232877,0.00251687293386083,0.224273787025393,"2730;2950","ENSG00000023909;ENSG00000084207","geneontology_Biological_Process_noRedundant"
"GO:0072593","reactive oxygen species metabolic process",152,2,0.0842011965433193,23.7526315789474,0.00272507639156006,0.224273787025393,"1728;2950","ENSG00000084207;ENSG00000181019","geneontology_Biological_Process_noRedundant"
"GO:0046677","response to antibiotic",201,2,0.111345003323731,17.9621890547264,0.00472086545767869,0.326937138065944,"1728;2950","ENSG00000084207;ENSG00000181019","geneontology_Biological_Process_noRedundant"
"GO:0007568","aging",202,2,0.111898958564148,17.8732673267327,0.00476700565831267,0.326937138065944,"1728;2730","ENSG00000023909;ENSG00000181019","geneontology_Biological_Process_noRedundant"
"GO:0006520","cellular amino acid metabolic process",224,2,0.124085973853313,16.1178571428571,0.00583590892230113,0.334308337665677,"1728;2730","ENSG00000023909;ENSG00000181019","geneontology_Biological_Process_noRedundant"
"GO:0070997","neuron death",227,2,0.125747839574562,15.904845814978,0.00598959618727668,0.334308337665677,"1728;2730","ENSG00000023909;ENSG00000181019","geneontology_Biological_Process_noRedundant"
"GO:0035690","cellular response to drug",229,2,0.126855750055396,15.7659388646288,0.00609310457470857,0.334308337665677,"1728;2730","ENSG00000023909;ENSG00000181019","geneontology_Biological_Process_noRedundant"
"GO:0006790","sulfur compound metabolic process",242,2,0.134057168180811,14.9190082644628,0.00678629985358992,0.349070298719031,"2730;2950","ENSG00000023909;ENSG00000084207","geneontology_Biological_Process_noRedundant"
