"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0007205","protein kinase C-activating G protein-coupled receptor signaling pathway",12,1,0.0132949257699978,75.2166666666667,0.0132222213400653,1,"2149","ENSG00000181104","geneontology_Biological_Process_noRedundant"
"GO:0008202","steroid metabolic process",172,2,0.190560602703302,10.4953488372093,0.0146932526018486,1,"3837;10577","ENSG00000119655;ENSG00000108424","geneontology_Biological_Process_noRedundant"
"GO:0050817","coagulation",177,2,0.196100155107467,10.1988700564972,0.0155165082112021,1,"2149;3710","ENSG00000096433;ENSG00000181104","geneontology_Biological_Process_noRedundant"
"GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway",18,1,0.0199423886549967,50.1444444444445,0.0197741448352119,1,"2149","ENSG00000181104","geneontology_Biological_Process_noRedundant"
"GO:0001819","positive regulation of cytokine production",202,2,0.223797917128296,8.93663366336634,0.0199263796299193,1,"2149;56919","ENSG00000005100;ENSG00000181104","geneontology_Biological_Process_noRedundant"
"GO:0051235","maintenance of location",203,2,0.224905827609129,8.89261083743842,0.0201127419736963,1,"2149;3710","ENSG00000096433;ENSG00000181104","geneontology_Biological_Process_noRedundant"
"GO:0003013","circulatory system process",208,2,0.230445380013295,8.67884615384616,0.0210558145281011,1,"2149;3710","ENSG00000096433;ENSG00000181104","geneontology_Biological_Process_noRedundant"
"GO:0072507","divalent inorganic cation homeostasis",216,2,0.23930866385996,8.35740740740741,0.0226033967665482,1,"2149;3710","ENSG00000096433;ENSG00000181104","geneontology_Biological_Process_noRedundant"
"GO:0072511","divalent inorganic cation transport",224,2,0.248171947706625,8.05892857142857,0.0241978870812316,1,"2149;3710","ENSG00000096433;ENSG00000181104","geneontology_Biological_Process_noRedundant"
"GO:0099177","regulation of trans-synaptic signaling",224,2,0.248171947706625,8.05892857142857,0.0241978870812316,1,"2149;3710","ENSG00000096433;ENSG00000181104","geneontology_Biological_Process_noRedundant"
"GO:0007606","sensory perception of chemical stimulus",23,1,0.0254819410591624,39.2434782608696,0.0252041440941949,1,"3710","ENSG00000096433","geneontology_Biological_Process_noRedundant"
"GO:0002791","regulation of peptide secretion",232,2,0.25703523155329,7.78103448275862,0.0258385141149758,1,"2149;3710","ENSG00000096433;ENSG00000181104","geneontology_Biological_Process_noRedundant"
"GO:0050878","regulation of body fluid levels",252,2,0.279193441169953,7.16349206349206,0.0301369365511637,1,"2149;3710","ENSG00000096433;ENSG00000181104","geneontology_Biological_Process_noRedundant"
"GO:1902579","multi-organism localization",28,1,0.0310214934633282,32.2357142857143,0.030607056618129,1,"3837","ENSG00000108424","geneontology_Biological_Process_noRedundant"
"GO:0019216","regulation of lipid metabolic process",259,2,0.286948814535785,6.96988416988417,0.0317062063257363,1,"3837;10577","ENSG00000119655;ENSG00000108424","geneontology_Biological_Process_noRedundant"
"GO:0032637","interleukin-8 production",30,1,0.0332373144249945,30.0866666666667,0.0327606642760323,1,"2149","ENSG00000181104","geneontology_Biological_Process_noRedundant"
