"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0007398","ectoderm development",12,1,0.011965433192998,83.5740740740741,0.0119072481758324,1,"8324","ENSG00000155760","geneontology_Biological_Process_noRedundant"
"GO:0018200","peptidyl-glutamic acid modification",17,1,0.0169510303567472,58.9934640522876,0.0168312887479818,1,"79739","ENSG00000137941","geneontology_Biological_Process_noRedundant"
"GO:0042110","T cell activation",232,2,0.231331708397961,8.6455938697318,0.0210227670583794,1,"896;8324","ENSG00000155760;ENSG00000112576","geneontology_Biological_Process_noRedundant"
"GO:0017145","stem cell division",27,1,0.0269222246842455,37.1440329218107,0.0266139826801229,1,"8324","ENSG00000155760","geneontology_Biological_Process_noRedundant"
"GO:0007164","establishment of tissue polarity",53,1,0.0528473299357412,18.9224318658281,0.0516452814443892,1,"8324","ENSG00000155760","geneontology_Biological_Process_noRedundant"
"GO:0006360","transcription by RNA polymerase I",60,1,0.05982716596499,16.7148148148148,0.0582859516953478,1,"7343","ENSG00000108312","geneontology_Biological_Process_noRedundant"
"GO:0035051","cardiocyte differentiation",65,1,0.0648127631287392,15.4290598290598,0.0630039485689942,1,"8324","ENSG00000155760","geneontology_Biological_Process_noRedundant"
"GO:0045995","regulation of embryonic development",71,1,0.0707954797252382,14.1251956181534,0.0686378022561223,1,"8324","ENSG00000155760","geneontology_Biological_Process_noRedundant"
"GO:0006353","DNA-templated transcription, termination",73,1,0.0727897185907379,13.738203957382,0.0705090507635261,1,"7343","ENSG00000108312","geneontology_Biological_Process_noRedundant"
"GO:1904029","regulation of cyclin-dependent protein kinase activity",77,1,0.0767781963217372,13.024531024531,0.0742415251031704,1,"896","ENSG00000112576","geneontology_Biological_Process_noRedundant"
"GO:0007369","gastrulation",91,1,0.0907378683802349,11.020757020757,0.0872004944407176,1,"8324","ENSG00000155760","geneontology_Biological_Process_noRedundant"
"GO:0045165","cell fate commitment",98,1,0.0977177044094837,10.2335600907029,0.0936193066711634,1,"8324","ENSG00000155760","geneontology_Biological_Process_noRedundant"
"GO:0098727","maintenance of cell number",98,1,0.0977177044094837,10.2335600907029,0.0936193066711634,1,"8324","ENSG00000155760","geneontology_Biological_Process_noRedundant"
"GO:2000027","regulation of animal organ morphogenesis",100,1,0.0997119432749834,10.0288888888889,0.0954458682907182,1,"8324","ENSG00000155760","geneontology_Biological_Process_noRedundant"
"GO:0031099","regeneration",104,1,0.103700421005983,9.64316239316239,0.0990891786394831,1,"8324","ENSG00000155760","geneontology_Biological_Process_noRedundant"
"GO:0007219","Notch signaling pathway",117,1,0.116662973631731,8.57169990503324,0.11084002471008,1,"142678","ENSG00000197530","geneontology_Biological_Process_noRedundant"
