"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0060759","regulation of response to cytokine stimulus",104,3,0.113207547169811,26.5,0.000153725286536011,0.125747284386457,"1435;1540;8877","ENSG00000184371;ENSG00000176170;ENSG00000083799","geneontology_Biological_Process_noRedundant"
"GO:0051090","regulation of DNA-binding transcription factor activity",260,3,0.283018867924528,10.6,0.00224322751286876,0.514837159769123,"1540;7546;8877","ENSG00000043355;ENSG00000176170;ENSG00000083799","geneontology_Biological_Process_noRedundant"
"GO:2000147","positive regulation of cell motility",265,3,0.288461538461538,10.4,0.002369108958024,0.514837159769123,"1435;8877;23332","ENSG00000184371;ENSG00000176170;ENSG00000074054","geneontology_Biological_Process_noRedundant"
"GO:0038061","NIK/NF-kappaB signaling",71,2,0.0772859216255443,25.8779342723005,0.00251754112356539,0.514837159769123,"1540;8877","ENSG00000176170;ENSG00000083799","geneontology_Biological_Process_noRedundant"
"GO:0050920","regulation of chemotaxis",94,2,0.102322206095791,19.5460992907801,0.0043710062263016,0.534376666586649,"727;1435","ENSG00000106804;ENSG00000184371","geneontology_Biological_Process_noRedundant"
"GO:0060326","cell chemotaxis",103,2,0.112119013062409,17.8381877022654,0.00522632818019264,0.534376666586649,"727;1435","ENSG00000106804;ENSG00000184371","geneontology_Biological_Process_noRedundant"
"GO:0001818","negative regulation of cytokine production",125,2,0.136066763425254,14.6986666666667,0.00761524681574821,0.534376666586649,"1540;5045","ENSG00000140564;ENSG00000083799","geneontology_Biological_Process_noRedundant"
"GO:0034612","response to tumor necrosis factor",125,2,0.136066763425254,14.6986666666667,0.00761524681574821,0.534376666586649,"1540;8877","ENSG00000176170;ENSG00000083799","geneontology_Biological_Process_noRedundant"
"GO:0045927","positive regulation of growth",147,2,0.160014513788099,12.4988662131519,0.0104139001834194,0.534376666586649,"1435;8877","ENSG00000184371;ENSG00000176170","geneontology_Biological_Process_noRedundant"
"GO:0050727","regulation of inflammatory response",150,2,0.163280116110305,12.2488888888889,0.0108263731231633,0.534376666586649,"727;1540","ENSG00000106804;ENSG00000083799","geneontology_Biological_Process_noRedundant"
"GO:0032102","negative regulation of response to external stimulus",151,2,0.164368650217707,12.1677704194261,0.0109654824025485,0.534376666586649,"727;23332","ENSG00000106804;ENSG00000074054","geneontology_Biological_Process_noRedundant"
"GO:1901342","regulation of vasculature development",152,2,0.165457184325109,12.0877192982456,0.0111053983112406,0.534376666586649,"727;8877","ENSG00000106804;ENSG00000176170","geneontology_Biological_Process_noRedundant"
"GO:0032886","regulation of microtubule-based process",156,2,0.169811320754717,11.7777777777778,0.0116730980712967,0.534376666586649,"1540;23332","ENSG00000083799;ENSG00000074054","geneontology_Biological_Process_noRedundant"
"GO:0051271","negative regulation of cellular component movement",156,2,0.169811320754717,11.7777777777778,0.0116730980712967,0.534376666586649,"727;23332","ENSG00000106804;ENSG00000074054","geneontology_Biological_Process_noRedundant"
"GO:1902115","regulation of organelle assembly",158,2,0.171988388969521,11.6286919831224,0.0119617485571006,0.534376666586649,"1540;255967","ENSG00000152520;ENSG00000083799","geneontology_Biological_Process_noRedundant"
"GO:0040013","negative regulation of locomotion",163,2,0.177431059506531,11.2719836400818,0.0126972803000102,0.534376666586649,"727;23332","ENSG00000106804;ENSG00000074054","geneontology_Biological_Process_noRedundant"
