"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0002683","negative regulation of immune system process",200,10,2.322206095791,4.30625,0.000101176898996136,0.0319609301339596,"864;961;1499;1997;3635;5795;8651;9111;51043;54625","ENSG00000020633;ENSG00000168036;ENSG00000196776;ENSG00000120690;ENSG00000185338;ENSG00000168918;ENSG00000173193;ENSG00000160685;ENSG00000149177;ENSG00000123609","geneontology_Biological_Process_noRedundant"
"GO:0033002","muscle cell proliferation",96,7,1.11465892597968,6.27994791666667,0.000117216125185671,0.0319609301339596,"1499;3717;4193;4602;6934;8837;10135","ENSG00000168036;ENSG00000148737;ENSG00000105835;ENSG00000118513;ENSG00000096968;ENSG00000135679;ENSG00000003402","geneontology_Biological_Process_noRedundant"
"GO:0034341","response to interferon-gamma",96,7,1.11465892597968,6.27994791666667,0.000117216125185671,0.0319609301339596,"961;3717;8651;9111;51466;51667;54625","ENSG00000013374;ENSG00000196776;ENSG00000185338;ENSG00000173193;ENSG00000096968;ENSG00000123609;ENSG00000196405","geneontology_Biological_Process_noRedundant"
"GO:0050867","positive regulation of cell activation",150,8,1.74165457184325,4.59333333333333,0.000335135323401348,0.0685351736355756,"864;961;3635;3717;4602;7525;8651;51043","ENSG00000020633;ENSG00000196776;ENSG00000185338;ENSG00000168918;ENSG00000118513;ENSG00000160685;ENSG00000176105;ENSG00000096968","geneontology_Biological_Process_noRedundant"
"GO:0042110","T cell activation",223,9,2.58925979680697,3.47589686098655,0.00108774661573174,0.173501084212189,"864;896;961;1499;4602;6932;7525;8651;51043","ENSG00000020633;ENSG00000168036;ENSG00000196776;ENSG00000185338;ENSG00000118513;ENSG00000160685;ENSG00000176105;ENSG00000112576;ENSG00000081059","geneontology_Biological_Process_noRedundant"
"GO:0060759","regulation of response to cytokine stimulus",104,6,1.20754716981132,4.96875,0.00127262408957596,0.173501084212189,"1997;2672;3717;8651;26065;54625","ENSG00000162676;ENSG00000120690;ENSG00000185338;ENSG00000257103;ENSG00000173193;ENSG00000096968","geneontology_Biological_Process_noRedundant"
"GO:0021953","central nervous system neuron differentiation",77,5,0.894049346879536,5.59253246753247,0.00194163288870142,0.226893671851108,"1499;8925;9839;23077;81565","ENSG00000168036;ENSG00000166579;ENSG00000169554;ENSG00000103657;ENSG00000005810","geneontology_Biological_Process_noRedundant"
"GO:0045785","positive regulation of cell adhesion",204,8,2.36865021770682,3.37745098039216,0.00247585026962738,0.240297522153125,"864;961;3717;4602;5795;7525;8651;51043","ENSG00000020633;ENSG00000196776;ENSG00000185338;ENSG00000118513;ENSG00000160685;ENSG00000176105;ENSG00000096968;ENSG00000149177","geneontology_Biological_Process_noRedundant"
"GO:1904837","beta-catenin-TCF complex assembly",25,3,0.290275761973875,10.335,0.00289895847229737,0.240297522153125,"1499;6932;6934","ENSG00000168036;ENSG00000148737;ENSG00000081059","geneontology_Biological_Process_noRedundant"
"GO:1901652","response to peptide",311,10,3.61103047895501,2.76929260450161,0.00315019574183806,0.240297522153125,"896;3717;4193;5021;8651;8837;10135;51043;51606;81565","ENSG00000047249;ENSG00000166579;ENSG00000185338;ENSG00000105835;ENSG00000160685;ENSG00000096968;ENSG00000112576;ENSG00000135679;ENSG00000003402;ENSG00000180914","geneontology_Biological_Process_noRedundant"
"GO:0070482","response to oxygen levels",213,8,2.47314949201742,3.23474178403756,0.00323138477223028,0.240297522153125,"571;3778;4193;4602;5021;5351;8837;10135","ENSG00000156113;ENSG00000105835;ENSG00000118513;ENSG00000156273;ENSG00000083444;ENSG00000135679;ENSG00000003402;ENSG00000180914","geneontology_Biological_Process_noRedundant"
"GO:0002521","leukocyte differentiation",265,9,3.07692307692308,2.925,0.00354055324389713,0.241347712792321,"578;864;1499;3635;4602;5795;6932;8651;51043","ENSG00000020633;ENSG00000168036;ENSG00000030110;ENSG00000185338;ENSG00000168918;ENSG00000118513;ENSG00000160685;ENSG00000149177;ENSG00000081059","geneontology_Biological_Process_noRedundant"
"GO:0022407","regulation of cell-cell adhesion",186,7,2.15965166908563,3.24126344086021,0.00576006608195456,0.322730311862925,"864;961;3717;4602;7525;8651;51043","ENSG00000020633;ENSG00000196776;ENSG00000185338;ENSG00000118513;ENSG00000160685;ENSG00000176105;ENSG00000096968","geneontology_Biological_Process_noRedundant"
"GO:0002694","regulation of leukocyte activation",237,8,2.75181422351234,2.90717299578059,0.00613675037800265,0.322730311862925,"864;961;1499;3635;4602;7525;8651;51043","ENSG00000020633;ENSG00000168036;ENSG00000196776;ENSG00000185338;ENSG00000168918;ENSG00000118513;ENSG00000160685;ENSG00000176105","geneontology_Biological_Process_noRedundant"
"GO:0031099","regeneration",101,5,1.17271407837446,4.26361386138614,0.00626062766207558,0.322730311862925,"578;3717;8578;8837;81565","ENSG00000166579;ENSG00000030110;ENSG00000096968;ENSG00000074660;ENSG00000003402","geneontology_Biological_Process_noRedundant"
"GO:0010975","regulation of neuron projection development",293,9,3.40203193033382,2.64547781569966,0.00679310712360481,0.322730311862925,"2672;4193;8578;8837;9839;9863;23077;23613;81565","ENSG00000162676;ENSG00000166579;ENSG00000169554;ENSG00000101040;ENSG00000187391;ENSG00000074660;ENSG00000005810;ENSG00000135679;ENSG00000003402","geneontology_Biological_Process_noRedundant"
