"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0071559","response to transforming growth factor beta",156,3,0.150943396226415,19.875,0.000344201933675015,0.259102604012911,"4092;9518;56940","ENSG00000101665;ENSG00000112679;ENSG00000130513","geneontology_Biological_Process_noRedundant"
"GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway",192,3,0.18577648766328,16.1484375,0.000633502699298072,0.259102604012911,"4092;9518;56940","ENSG00000101665;ENSG00000112679;ENSG00000130513","geneontology_Biological_Process_noRedundant"
"GO:0071772","response to BMP",80,2,0.0774068698597001,25.8375,0.00249293793507477,0.522458753569937,"4092;9518","ENSG00000101665;ENSG00000130513","geneontology_Biological_Process_noRedundant"
"GO:0050866","negative regulation of cell activation",81,2,0.0783744557329463,25.5185185185185,0.00255481053090434,0.522458753569937,"4092;56940","ENSG00000101665;ENSG00000112679","geneontology_Biological_Process_noRedundant"
"GO:0002449","lymphocyte mediated immunity",102,2,0.0986937590711176,20.2647058823529,0.00402049207950428,0.6577525042069,"4092;56940","ENSG00000101665;ENSG00000112679","geneontology_Biological_Process_noRedundant"
"GO:0007162","negative regulation of cell adhesion",136,2,0.13159167876149,15.1985294117647,0.0070478842759597,0.699089662331709,"4092;56940","ENSG00000101665;ENSG00000112679","geneontology_Biological_Process_noRedundant"
"GO:0007159","leukocyte cell-cell adhesion",155,2,0.149975810353169,13.3354838709677,0.00907878788717653,0.699089662331709,"4092;56940","ENSG00000101665;ENSG00000112679","geneontology_Biological_Process_noRedundant"
"GO:0051271","negative regulation of cellular component movement",156,2,0.150943396226415,13.25,0.00919222406839093,0.699089662331709,"4092;56940","ENSG00000101665;ENSG00000112679","geneontology_Biological_Process_noRedundant"
"GO:0002250","adaptive immune response",158,2,0.152878567972908,13.0822784810127,0.0094210376081646,0.699089662331709,"4092;56940","ENSG00000101665;ENSG00000112679","geneontology_Biological_Process_noRedundant"
"GO:0040013","negative regulation of locomotion",163,2,0.157716497339139,12.680981595092,0.0100043469832041,0.699089662331709,"4092;56940","ENSG00000101665;ENSG00000112679","geneontology_Biological_Process_noRedundant"
"GO:0034330","cell junction organization",168,2,0.16255442670537,12.3035714285714,0.0106036616919958,0.699089662331709,"4092;56940","ENSG00000101665;ENSG00000112679","geneontology_Biological_Process_noRedundant"
"GO:0002697","regulation of immune effector process",184,2,0.17803580067731,11.2336956521739,0.0126275412095176,0.699089662331709,"4092;56940","ENSG00000101665;ENSG00000112679","geneontology_Biological_Process_noRedundant"
"GO:0022407","regulation of cell-cell adhesion",186,2,0.179970972423803,11.1129032258065,0.012891751390808,0.699089662331709,"4092;56940","ENSG00000101665;ENSG00000112679","geneontology_Biological_Process_noRedundant"
"GO:0051348","negative regulation of transferase activity",192,2,0.18577648766328,10.765625,0.0136991559466513,0.699089662331709,"4092;56940","ENSG00000101665;ENSG00000112679","geneontology_Biological_Process_noRedundant"
"GO:0007568","aging",195,2,0.188679245283019,10.6,0.0141111191742298,0.699089662331709,"3416;493856","ENSG00000145354;ENSG00000119912","geneontology_Biological_Process_noRedundant"
"GO:0002683","negative regulation of immune system process",200,2,0.19351717464925,10.335,0.0148098701479551,0.699089662331709,"4092;56940","ENSG00000101665;ENSG00000112679","geneontology_Biological_Process_noRedundant"
