"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0042092","type 2 immune response",14,5,1.06845670053217,4.67964681910799,0.00285314057450781,0.803678311009612,"301;972;3566;9655;80762","ENSG00000019582;ENSG00000135046;ENSG00000077238;ENSG00000131507;ENSG00000171150","geneontology_Biological_Process_noRedundant"
"GO:0031667","response to nutrient levels",288,35,21.9796806966618,1.59237982039091,0.00387802784286406,0.803678311009612,"583;594;1026;1385;1535;1603;1965;2029;2534;2934;3383;3428;3725;4193;5289;5292;5467;6678;6872;7157;7538;8428;9451;10059;10135;10400;10518;10670;23334;25994;29103;51100;55630;81631;114789","ENSG00000113140;ENSG00000129562;ENSG00000010810;ENSG00000124762;ENSG00000051523;ENSG00000140941;ENSG00000102572;ENSG00000141510;ENSG00000118260;ENSG00000105835;ENSG00000136425;ENSG00000147804;ENSG00000177606;ENSG00000143420;ENSG00000078142;ENSG00000112033;ENSG00000134001;ENSG00000083123;ENSG00000172071;ENSG00000090339;ENSG00000148180;ENSG00000133027;ENSG00000125124;ENSG00000137193;ENSG00000155876;ENSG00000097033;ENSG00000120675;ENSG00000198198;ENSG00000148339;ENSG00000147133;ENSG00000163565;ENSG00000181061;ENSG00000128016;ENSG00000087470;ENSG00000135679","geneontology_Biological_Process_noRedundant"
"GO:0017004","cytochrome complex assembly",30,7,2.28955007256894,3.05736925515055,0.00630134812188765,0.803678311009612,"1353;1535;10063;29090;79072;84987;100131801","ENSG00000138495;ENSG00000051523;ENSG00000166260;ENSG00000124279;ENSG00000075336;ENSG00000178449;ENSG00000229833","geneontology_Biological_Process_noRedundant"
"GO:1903034","regulation of response to wounding",80,13,6.10546686018384,2.12923930269414,0.00711587930337676,0.803678311009612,"301;308;634;928;1026;2149;5467;5588;5792;7429;8428;55966;196527","ENSG00000124762;ENSG00000065675;ENSG00000127831;ENSG00000079385;ENSG00000102572;ENSG00000196581;ENSG00000142949;ENSG00000135046;ENSG00000010278;ENSG00000112033;ENSG00000177119;ENSG00000181104;ENSG00000164111","geneontology_Biological_Process_noRedundant"
"GO:0051090","regulation of DNA-binding transcription factor activity",260,31,19.8427672955975,1.56228209191759,0.00835217200847616,0.803678311009612,"101;307;1147;2958;3383;3725;3845;4790;4795;4796;5292;5588;5927;6446;6872;6885;7158;7189;8517;8896;8928;9817;9969;10293;10346;11331;22900;58487;84159;136319;317761","ENSG00000105887;ENSG00000175104;ENSG00000108510;ENSG00000079999;ENSG00000140307;ENSG00000137504;ENSG00000065675;ENSG00000133703;ENSG00000151651;ENSG00000105483;ENSG00000135341;ENSG00000204498;ENSG00000177606;ENSG00000269335;ENSG00000109320;ENSG00000073614;ENSG00000090339;ENSG00000118515;ENSG00000213341;ENSG00000137193;ENSG00000179008;ENSG00000067369;ENSG00000160973;ENSG00000132274;ENSG00000160949;ENSG00000150347;ENSG00000196975;ENSG00000147133;ENSG00000183763;ENSG00000215021;ENSG00000106245","geneontology_Biological_Process_noRedundant"
"GO:0031099","regeneration",101,15,7.7081519109821,1.94599174655976,0.00929633615860681,0.803678311009612,"301;1026;2934;3725;3913;4814;5467;5792;6217;6426;6430;8428;23162;55909;136319","ENSG00000105887;ENSG00000124762;ENSG00000172037;ENSG00000102572;ENSG00000131669;ENSG00000177606;ENSG00000142949;ENSG00000135046;ENSG00000112033;ENSG00000136450;ENSG00000147439;ENSG00000148180;ENSG00000105193;ENSG00000100650;ENSG00000138834","geneontology_Biological_Process_noRedundant"
"GO:0061025","membrane fusion",93,14,7.09760522496372,1.97249629364552,0.0104729147435318,0.803678311009612,"301;928;2773;2901;8677;9527;9570;10059;10490;23355;23673;29091;55669;143187","ENSG00000156931;ENSG00000108587;ENSG00000151532;ENSG00000108433;ENSG00000135046;ENSG00000010278;ENSG00000171109;ENSG00000105737;ENSG00000065135;ENSG00000168952;ENSG00000100568;ENSG00000117758;ENSG00000104915;ENSG00000087470","geneontology_Biological_Process_noRedundant"
"GO:0051341","regulation of oxidoreductase activity",49,9,3.7395984518626,2.40667550696982,0.0107740399720229,0.803678311009612,"92;1535;2773;3845;4790;6622;10063;23334;51070","ENSG00000138495;ENSG00000051523;ENSG00000133703;ENSG00000121989;ENSG00000109320;ENSG00000065135;ENSG00000142546;ENSG00000198198;ENSG00000145335","geneontology_Biological_Process_noRedundant"
"GO:0070646","protein modification by small protein removal",223,27,17.0189888727625,1.58646322656755,0.0109663154256696,0.803678311009612,"1643;4087;4193;4287;4609;4738;5694;5702;5707;5709;5714;5719;6885;7157;7189;8517;9100;9491;9738;9804;9817;10445;10920;83444;84101;114803;126119","ENSG00000125818;ENSG00000175104;ENSG00000079999;ENSG00000129559;ENSG00000173692;ENSG00000173726;ENSG00000108344;ENSG00000141510;ENSG00000135341;ENSG00000165916;ENSG00000175387;ENSG00000269335;ENSG00000134574;ENSG00000198612;ENSG00000103540;ENSG00000142507;ENSG00000136997;ENSG00000136014;ENSG00000161677;ENSG00000185627;ENSG00000066427;ENSG00000162601;ENSG00000187778;ENSG00000099341;ENSG00000103194;ENSG00000135679;ENSG00000115274","geneontology_Biological_Process_noRedundant"
"GO:0016050","vesicle organization",244,29,18.6216739235607,1.55732508898184,0.010978156667472,0.803678311009612,"301;1385;2149;2773;2901;5289;5869;6490;8677;8907;9217;9527;9570;10113;10342;10490;10564;10802;23355;23673;29091;51552;55048;57403;58485;79156;84364;126003;143187","ENSG00000156931;ENSG00000124209;ENSG00000108587;ENSG00000181029;ENSG00000149182;ENSG00000124198;ENSG00000151532;ENSG00000108433;ENSG00000118260;ENSG00000124164;ENSG00000138073;ENSG00000170043;ENSG00000166289;ENSG00000185664;ENSG00000135046;ENSG00000078142;ENSG00000119396;ENSG00000105737;ENSG00000065135;ENSG00000111540;ENSG00000168952;ENSG00000072958;ENSG00000100568;ENSG00000113615;ENSG00000181104;ENSG00000117758;ENSG00000167987;ENSG00000104915;ENSG00000114354","geneontology_Biological_Process_noRedundant"
