"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0045861","negative regulation of proteolysis",179,6,0.872590294704188,6.87607922803454,0.000211174837258632,0.141863638346436,"1604;4130;5274;5327;51176;117166","ENSG00000166963;ENSG00000104368;ENSG00000196352;ENSG00000127578;ENSG00000163536;ENSG00000138795","geneontology_Biological_Process_noRedundant"
"GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway",196,6,0.955461998670507,6.27968460111317,0.000344747602299966,0.141863638346436,"858;3491;6868;7431;51176;117166","ENSG00000151694;ENSG00000026025;ENSG00000105971;ENSG00000127578;ENSG00000142871;ENSG00000138795","geneontology_Biological_Process_noRedundant"
"GO:0033627","cell adhesion mediated by integrin",34,3,0.165743407932639,18.1002673796791,0.000582047259012008,0.159674964722294,"4582;6868;9780","ENSG00000103335;ENSG00000185499;ENSG00000151694","geneontology_Biological_Process_noRedundant"
"GO:0003205","cardiac chamber development",88,4,0.428982938178595,9.32438016528926,0.000850498591290494,0.174990085158019,"3491;5457;5629;11174","ENSG00000049192;ENSG00000117707;ENSG00000152192;ENSG00000142871","geneontology_Biological_Process_noRedundant"
"GO:2000147","positive regulation of cell motility",287,6,1.3990693551961,4.28856509344314,0.00250372274802957,0.365327099920947,"3146;3491;5629;6648;6868;51176","ENSG00000189403;ENSG00000112096;ENSG00000117707;ENSG00000151694;ENSG00000142871;ENSG00000138795","geneontology_Biological_Process_noRedundant"
"GO:1902742","apoptotic process involved in development",17,2,0.0828717039663195,24.1336898395722,0.00301520315183468,0.365327099920947,"3491;51176","ENSG00000142871;ENSG00000138795","geneontology_Biological_Process_noRedundant"
"GO:0007517","muscle organ development",206,5,1.00421005982717,4.97903795233892,0.00310727788511134,0.365327099920947,"858;5457;5629;6525;51176","ENSG00000117707;ENSG00000105971;ENSG00000152192;ENSG00000183963;ENSG00000138795","geneontology_Biological_Process_noRedundant"
"GO:0052547","regulation of peptidase activity",225,5,1.09683137602482,4.55858585858586,0.00453011776135614,0.429165613191162,"3146;3491;5274;51176;117166","ENSG00000189403;ENSG00000127578;ENSG00000163536;ENSG00000142871;ENSG00000138795","geneontology_Biological_Process_noRedundant"
"GO:0002446","neutrophil mediated immunity",335,6,1.63306004874806,3.67408412483039,0.00536083683540878,0.429165613191162,"535;1604;2896;3146;6868;10493","ENSG00000189403;ENSG00000151694;ENSG00000196352;ENSG00000033627;ENSG00000108828;ENSG00000030582","geneontology_Biological_Process_noRedundant"
"GO:0072593","reactive oxygen species metabolic process",152,4,0.74097052958121,5.39832535885167,0.00622082703733406,0.429165613191162,"3491;5166;6648;8644","ENSG00000196139;ENSG00000112096;ENSG00000004799;ENSG00000142871","geneontology_Biological_Process_noRedundant"
"GO:0062012","regulation of small molecule metabolic process",243,5,1.1845778861068,4.22091283202394,0.00626041530925381,0.429165613191162,"3146;4047;5166;5629;8644","ENSG00000196139;ENSG00000189403;ENSG00000160285;ENSG00000117707;ENSG00000004799","geneontology_Biological_Process_noRedundant"
"GO:0090287","regulation of cellular response to growth factor stimulus",155,4,0.755594947928207,5.29384164222874,0.00666125009704421,0.429165613191162,"858;3491;6868;117166","ENSG00000151694;ENSG00000105971;ENSG00000127578;ENSG00000142871","geneontology_Biological_Process_noRedundant"
"GO:0030902","hindbrain development",81,3,0.394859295368934,7.5976430976431,0.00707765217848855,0.429165613191162,"5457;5629;51176","ENSG00000117707;ENSG00000152192;ENSG00000138795","geneontology_Biological_Process_noRedundant"
"GO:0002237","response to molecule of bacterial origin",161,4,0.784843784622203,5.09655561829475,0.00760340831957884,0.429165613191162,"1604;3146;6868;7431","ENSG00000189403;ENSG00000151694;ENSG00000026025;ENSG00000196352","geneontology_Biological_Process_noRedundant"
"GO:0019216","regulation of lipid metabolic process",259,5,1.26257478395746,3.96016146016146,0.00815173219364551,0.429165613191162,"3491;4047;5166;5629;8644","ENSG00000196139;ENSG00000160285;ENSG00000117707;ENSG00000004799;ENSG00000142871","geneontology_Biological_Process_noRedundant"
"GO:0002250","adaptive immune response",169,4,0.823842233547529,4.85529854760624,0.00899130357601807,0.429165613191162,"1604;3146;6868;51176","ENSG00000189403;ENSG00000151694;ENSG00000196352;ENSG00000138795","geneontology_Biological_Process_noRedundant"
