"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0048144","fibroblast proliferation",54,1,0.011965433192998,83.5740740740741,0.0119302992340383,1,"81857","ENSG00000104973","geneontology_Biological_Process_noRedundant"
"GO:0016052","carbohydrate catabolic process",106,1,0.0234877021936628,42.5754716981132,0.0233510701310399,1,"2523","ENSG00000174951","geneontology_Biological_Process_noRedundant"
"GO:0070085","glycosylation",184,1,0.0407711056946599,24.5271739130435,0.0403577476701658,1,"2523","ENSG00000174951","geneontology_Biological_Process_noRedundant"
"GO:0006352","DNA-templated transcription, initiation",188,1,0.0416574340793264,24.0053191489362,0.0412258584464823,1,"81857","ENSG00000104973","geneontology_Biological_Process_noRedundant"
"GO:0005996","monosaccharide metabolic process",192,1,0.0425437624639929,23.5052083333333,0.0420935763902744,1,"2523","ENSG00000174951","geneontology_Biological_Process_noRedundant"
"GO:0007050","cell cycle arrest",194,1,0.0429869266563262,23.2628865979381,0.0425272880499735,1,"81857","ENSG00000104973","geneontology_Biological_Process_noRedundant"
"GO:0051098","regulation of binding",259,1,0.0573897629071571,17.4247104247104,0.0565694549387337,1,"81857","ENSG00000104973","geneontology_Biological_Process_noRedundant"
"GO:0009100","glycoprotein metabolic process",265,1,0.0587192554841569,17.0301886792453,0.0578604253762443,1,"2523","ENSG00000174951","geneontology_Biological_Process_noRedundant"
"GO:0044282","small molecule catabolic process",294,1,0.0651451362729891,15.3503401360544,0.0640876556675609,1,"2523","ENSG00000174951","geneontology_Biological_Process_noRedundant"
"GO:0045787","positive regulation of cell cycle",295,1,0.0653667183691558,15.2983050847458,0.0643020194660794,1,"81857","ENSG00000104973","geneontology_Biological_Process_noRedundant"
"GO:0043254","regulation of protein complex assembly",339,1,0.0751163306004875,13.3126843657817,0.0737097200884117,1,"81857","ENSG00000104973","geneontology_Biological_Process_noRedundant"
