"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:1903706","regulation of hemopoiesis",246,87,65.7108353645025,1.32398255960992,0.00152342260998095,1,"91;92;405;567;604;760;1021;1385;1540;1960;2113;2185;2200;2353;2621;3059;3146;3280;3313;3398;3674;3956;4208;4212;4286;4602;4763;4850;4853;4860;5469;5578;5590;5777;5929;6654;6886;6929;6988;7564;8085;8546;8651;8737;8772;8850;9580;9739;9757;10125;10221;10272;10519;10766;11221;22806;22890;23240;23543;26523;27086;29102;51561;54517;54542;54892;55294;55795;55904;56339;60682;64332;80149;80762;84695;85477;96459;129138;140685;150372;161882;169200;170506;171392;192669;192670;441478","ENSG00000134250;ENSG00000067606;ENSG00000006747;ENSG00000100124;ENSG00000135503;ENSG00000143507;ENSG00000121210;ENSG00000113013;ENSG00000179588;ENSG00000113360;ENSG00000111679;ENSG00000145022;ENSG00000091127;ENSG00000081189;ENSG00000120899;ENSG00000112305;ENSG00000115904;ENSG00000198805;ENSG00000144802;ENSG00000131507;ENSG00000197372;ENSG00000172575;ENSG00000173334;ENSG00000185338;ENSG00000166710;ENSG00000126070;ENSG00000217128;ENSG00000130584;ENSG00000170631;ENSG00000187098;ENSG00000143842;ENSG00000154229;ENSG00000105810;ENSG00000126226;ENSG00000118513;ENSG00000115738;ENSG00000005483;ENSG00000196712;ENSG00000189403;ENSG00000163874;ENSG00000185043;ENSG00000083799;ENSG00000005961;ENSG00000113916;ENSG00000110944;ENSG00000056586;ENSG00000115318;ENSG00000114166;ENSG00000165819;ENSG00000143437;ENSG00000180694;ENSG00000183087;ENSG00000198435;ENSG00000183864;ENSG00000166147;ENSG00000099381;ENSG00000180353;ENSG00000167548;ENSG00000104267;ENSG00000117222;ENSG00000092847;ENSG00000235568;ENSG00000125686;ENSG00000126804;ENSG00000162367;ENSG00000118260;ENSG00000100320;ENSG00000080802;ENSG00000168040;ENSG00000114315;ENSG00000071564;ENSG00000272333;ENSG00000132842;ENSG00000109670;ENSG00000134138;ENSG00000121989;ENSG00000137275;ENSG00000179388;ENSG00000134698;ENSG00000134954;ENSG00000114861;ENSG00000161405;ENSG00000100097;ENSG00000170345;ENSG00000174953;ENSG00000070404;ENSG00000146918","geneontology_Biological_Process_noRedundant"
"GO:0008334","histone mRNA metabolic process",29,15,7.74639929093729,1.93638352951272,0.0035588822655872,1,"4686;5394;6628;6634;6635;6741;25888;27257;51692;54464;54512;64282;84967;167153;167227","ENSG00000142528;ENSG00000119203;ENSG00000181817;ENSG00000121274;ENSG00000164329;ENSG00000125835;ENSG00000136937;ENSG00000175324;ENSG00000172795;ENSG00000182004;ENSG00000114127;ENSG00000171824;ENSG00000138385;ENSG00000178896;ENSG00000100028","geneontology_Biological_Process_noRedundant"
"GO:0043171","peptide catabolic process",17,10,4.54099268779083,2.20216166101447,0.00519139976992211,1,"290;1512;1889;2678;2686;4048;7511;9520;11093;79094","ENSG00000128965;ENSG00000100031;ENSG00000103811;ENSG00000131067;ENSG00000108039;ENSG00000111144;ENSG00000166825;ENSG00000117298;ENSG00000160323;ENSG00000141279","geneontology_Biological_Process_noRedundant"
"GO:0001945","lymph vessel development",15,9,4.00675825393308,2.24620489423476,0.00672125732117024,1,"93;2324;3964;5310;5532;5629;5784;6899;7422","ENSG00000037280;ENSG00000008710;ENSG00000184058;ENSG00000152104;ENSG00000107758;ENSG00000116977;ENSG00000114739;ENSG00000112715;ENSG00000117707","geneontology_Biological_Process_noRedundant"
"GO:0051647","nucleus localization",20,11,5.34234433857744,2.05902115304853,0.00676381889147093,1,"274;547;4628;5048;5108;9368;23224;23353;29109;80336;153241","ENSG00000164828;ENSG00000109062;ENSG00000054654;ENSG00000133026;ENSG00000168944;ENSG00000130294;ENSG00000135723;ENSG00000136717;ENSG00000078674;ENSG00000007168;ENSG00000101104","geneontology_Biological_Process_noRedundant"
"GO:0006471","protein ADP-ribosylation",28,13,7.47928207400842,1.73813473958642,0.019492772295585,1,"378;7515;8658;8850;10039;11284;23410;25976;26277;54956;54969;56965;83666","ENSG00000039650;ENSG00000168374;ENSG00000041880;ENSG00000056050;ENSG00000114166;ENSG00000073050;ENSG00000142082;ENSG00000092330;ENSG00000138617;ENSG00000163659;ENSG00000138496;ENSG00000137817;ENSG00000173273","geneontology_Biological_Process_noRedundant"
"GO:0032886","regulation of microtubule-based process",167,57,44.6085752271216,1.27778122725929,0.0196707227857913,1,"324;583;585;636;672;899;1027;1111;1213;1540;1639;2932;3476;3925;4137;4744;4926;5048;5310;5879;6047;6249;6491;6790;8850;9525;10039;10263;10382;10519;10615;11186;22919;22974;22994;23116;23271;23299;23332;23499;25886;26586;26973;51510;54461;55288;56683;57132;57551;57662;79866;79959;89927;91147;152185;153241;221150","ENSG00000163611;ENSG00000063978;ENSG00000255112;ENSG00000089289;ENSG00000136238;ENSG00000104833;ENSG00000164087;ENSG00000160551;ENSG00000087586;ENSG00000130779;ENSG00000008710;ENSG00000162063;ENSG00000137497;ENSG00000074054;ENSG00000140463;ENSG00000101624;ENSG00000117632;ENSG00000041880;ENSG00000149554;ENSG00000127603;ENSG00000167797;ENSG00000136108;ENSG00000168944;ENSG00000164953;ENSG00000185043;ENSG00000083799;ENSG00000110172;ENSG00000204843;ENSG00000076382;ENSG00000076826;ENSG00000114166;ENSG00000126858;ENSG00000100285;ENSG00000134982;ENSG00000141577;ENSG00000086065;ENSG00000159069;ENSG00000101367;ENSG00000141367;ENSG00000159079;ENSG00000166780;ENSG00000185963;ENSG00000119541;ENSG00000082701;ENSG00000012048;ENSG00000068028;ENSG00000118200;ENSG00000111276;ENSG00000136122;ENSG00000151746;ENSG00000088325;ENSG00000125124;ENSG00000007168;ENSG00000165480;ENSG00000123473;ENSG00000186868;ENSG00000198718","geneontology_Biological_Process_noRedundant"
"GO:0006813","potassium ion transport",87,32,23.2391978728119,1.37698384320905,0.0246954457211122,1,"274;476;481;610;1027;1804;2185;3249;3748;3749;3778;3799;4734;4842;4846;5311;5978;7341;7531;8645;9132;9525;9722;9990;10008;10479;30819;51083;55151;57657;84286;144245","ENSG00000117013;ENSG00000120899;ENSG00000163399;ENSG00000095209;ENSG00000140199;ENSG00000105707;ENSG00000089250;ENSG00000120049;ENSG00000069482;ENSG00000156113;ENSG00000116396;ENSG00000099822;ENSG00000164626;ENSG00000084093;ENSG00000175548;ENSG00000175538;ENSG00000198929;ENSG00000119541;ENSG00000143153;ENSG00000127419;ENSG00000136717;ENSG00000108953;ENSG00000164867;ENSG00000116030;ENSG00000111276;ENSG00000143630;ENSG00000118762;ENSG00000170759;ENSG00000198689;ENSG00000131398;ENSG00000069869;ENSG00000130226","geneontology_Biological_Process_noRedundant"
"GO:0090066","regulation of anatomical structure size",291,93,77.7311101263018,1.19643216015941,0.0248123696415465,1,"274;382;583;585;829;1373;1385;1889;1954;2053;2185;2241;2664;2730;2764;2803;2885;2932;2934;3059;3274;3778;3984;4137;4842;4846;4916;5048;5357;5467;5879;6049;6710;6711;6722;7111;7410;7422;7429;7456;7473;7504;8398;8440;8799;8864;8976;8985;9168;9270;9368;9732;9990;10000;10093;10109;10152;10458;10500;10542;11034;11135;11151;11267;23028;23189;23499;23507;23580;29108;50809;50853;51520;54795;54910;54942;55558;56907;57142;57175;57403;57539;57698;85464;85477;89848;93663;134430;143872;150465;348110;644150;100287171","ENSG00000102879;ENSG00000112658;ENSG00000130827;ENSG00000144674;ENSG00000127483;ENSG00000197948;ENSG00000006747;ENSG00000136238;ENSG00000163466;ENSG00000023909;ENSG00000143434;ENSG00000124209;ENSG00000120915;ENSG00000179604;ENSG00000148180;ENSG00000120899;ENSG00000242498;ENSG00000197147;ENSG00000133706;ENSG00000117020;ENSG00000120756;ENSG00000165895;ENSG00000140463;ENSG00000115310;ENSG00000107104;ENSG00000128512;ENSG00000115935;ENSG00000109062;ENSG00000140199;ENSG00000116489;ENSG00000106299;ENSG00000089250;ENSG00000127603;ENSG00000146376;ENSG00000113749;ENSG00000203879;ENSG00000119328;ENSG00000156113;ENSG00000127870;ENSG00000187164;ENSG00000128283;ENSG00000136059;ENSG00000130529;ENSG00000177885;ENSG00000021826;ENSG00000106683;ENSG00000127831;ENSG00000118965;ENSG00000047597;ENSG00000034510;ENSG00000134248;ENSG00000180353;ENSG00000106397;ENSG00000105429;ENSG00000168758;ENSG00000125868;ENSG00000241553;ENSG00000197045;ENSG00000131779;ENSG00000141298;ENSG00000117298;ENSG00000103490;ENSG00000071051;ENSG00000138443;ENSG00000132326;ENSG00000108379;ENSG00000118260;ENSG00000082701;ENSG00000070182;ENSG00000136842;ENSG00000134987;ENSG00000122574;ENSG00000115306;ENSG00000134278;ENSG00000175866;ENSG00000181404;ENSG00000136717;ENSG00000112715;ENSG00000159210;ENSG00000164867;ENSG00000004487;ENSG00000165527;ENSG00000119185;ENSG00000114999;ENSG00000125124;ENSG00000007168;ENSG00000112033;ENSG00000186868;ENSG00000160293;ENSG00000151422;ENSG00000184381;ENSG00000140538;ENSG00000172725","geneontology_Biological_Process_noRedundant"
"GO:0030323","respiratory tube development",94,34,25.109018391314,1.35409514900677,0.0271701616078367,1,"93;1385;1512;1717;2324;3146;3280;3397;3516;3911;4846;5310;5595;5629;5754;6431;6722;7422;7482;8914;8985;9678;10253;10272;10454;23152;51501;51696;54542;55294;57190;57333;60485;84695","ENSG00000112655;ENSG00000112658;ENSG00000125968;ENSG00000037280;ENSG00000134245;ENSG00000106443;ENSG00000008710;ENSG00000100324;ENSG00000103811;ENSG00000130702;ENSG00000124193;ENSG00000189403;ENSG00000102882;ENSG00000112406;ENSG00000056586;ENSG00000115318;ENSG00000106397;ENSG00000079432;ENSG00000149196;ENSG00000136158;ENSG00000168214;ENSG00000118260;ENSG00000114315;ENSG00000114739;ENSG00000112715;ENSG00000151748;ENSG00000109670;ENSG00000164867;ENSG00000172893;ENSG00000142552;ENSG00000111602;ENSG00000117707;ENSG00000070404;ENSG00000162430","geneontology_Biological_Process_noRedundant"
"GO:0060348","bone development",107,38,28.5815422113893,1.32952937664986,0.0273862876328556,1,"54;1291;1293;1690;1954;2022;2200;3636;3815;4208;4487;4853;5048;5364;5469;5777;6722;6886;9249;10006;10498;25886;25946;27086;51141;55294;57560;64175;64856;79001;80263;85301;124565;161882;202018;285590;359845;389058","ENSG00000134250;ENSG00000112658;ENSG00000163359;ENSG00000165458;ENSG00000117385;ENSG00000102575;ENSG00000179588;ENSG00000106991;ENSG00000111679;ENSG00000164087;ENSG00000081189;ENSG00000183688;ENSG00000204335;ENSG00000142156;ENSG00000167397;ENSG00000157637;ENSG00000163132;ENSG00000174705;ENSG00000161642;ENSG00000179403;ENSG00000142453;ENSG00000162496;ENSG00000166147;ENSG00000105429;ENSG00000125686;ENSG00000196739;ENSG00000162367;ENSG00000125629;ENSG00000164050;ENSG00000134253;ENSG00000109670;ENSG00000157404;ENSG00000114861;ENSG00000100473;ENSG00000007168;ENSG00000136754;ENSG00000068885;ENSG00000169762","geneontology_Biological_Process_noRedundant"
"GO:0044380","protein localization to cytoskeleton",50,20,13.3558608464436,1.49746992948984,0.0277762069282173,1,"324;585;636;1453;2932;4926;5108;6491;6790;10540;10615;22919;22994;23386;51134;55722;64770;81610;81926;283489","ENSG00000175455;ENSG00000173588;ENSG00000087586;ENSG00000137497;ENSG00000140463;ENSG00000198824;ENSG00000076382;ENSG00000134982;ENSG00000141577;ENSG00000101367;ENSG00000015676;ENSG00000141551;ENSG00000082701;ENSG00000129968;ENSG00000112877;ENSG00000078674;ENSG00000101447;ENSG00000175203;ENSG00000151746;ENSG00000123473","geneontology_Biological_Process_noRedundant"
"GO:0060840","artery development",47,19,12.554509195657,1.51340046065462,0.0281065857386491,1,"93;2022;3280;3340;3516;4052;4628;4638;4763;5311;5629;6092;6722;6899;7422;8928;10000;10454;23462","ENSG00000112658;ENSG00000164683;ENSG00000185008;ENSG00000049323;ENSG00000106991;ENSG00000070614;ENSG00000117020;ENSG00000100324;ENSG00000065534;ENSG00000184058;ENSG00000133026;ENSG00000196712;ENSG00000160973;ENSG00000168214;ENSG00000114315;ENSG00000114739;ENSG00000112715;ENSG00000118762;ENSG00000117707","geneontology_Biological_Process_noRedundant"
