"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0051321","meiotic cell cycle",153,28,16.6459118103257,1.68209469802857,0.00389007895238813,1,"472;641;994;2072;2177;3622;4437;4439;4487;4751;5567;7153;7155;7516;9088;9126;9134;9232;10051;10096;55329;57697;81930;83990;114791;151648;225689;100526739","ENSG00000164611;ENSG00000168556;ENSG00000138587;ENSG00000113810;ENSG00000117650;ENSG00000113318;ENSG00000251503;ENSG00000181085;ENSG00000187790;ENSG00000196584;ENSG00000175305;ENSG00000127564;ENSG00000131747;ENSG00000144554;ENSG00000204410;ENSG00000175595;ENSG00000115091;ENSG00000197299;ENSG00000142875;ENSG00000108055;ENSG00000136492;ENSG00000121621;ENSG00000163132;ENSG00000149311;ENSG00000101224;ENSG00000077097;ENSG00000275835;ENSG00000129810","geneontology_Biological_Process_noRedundant"
"GO:0006575","cellular modified amino acid metabolic process",122,23,13.2732107245735,1.73281359553938,0.00581809135798506,1,"34;191;223;2348;2539;2730;2946;4522;4552;6573;8974;10400;10404;10588;23657;55217;56605;58478;114879;126129;254531;373156;100137049","ENSG00000197448;ENSG00000176454;ENSG00000101444;ENSG00000169169;ENSG00000185973;ENSG00000086619;ENSG00000100714;ENSG00000173638;ENSG00000110195;ENSG00000072682;ENSG00000136371;ENSG00000243708;ENSG00000145293;ENSG00000021762;ENSG00000117054;ENSG00000133027;ENSG00000151012;ENSG00000160211;ENSG00000104324;ENSG00000143149;ENSG00000213366;ENSG00000124275;ENSG00000023909","geneontology_Biological_Process_noRedundant"
"GO:0009451","RNA modification",140,25,15.2315532904941,1.64132964794879,0.00845304915429779,1,"6741;6894;8518;23070;29960;54482;54517;55039;55798;60489;64118;64216;79066;79828;79872;80745;81627;81890;83448;84705;93587;115939;129450;196074;221120","ENSG00000169519;ENSG00000239713;ENSG00000122687;ENSG00000129317;ENSG00000105879;ENSG00000137200;ENSG00000070061;ENSG00000213339;ENSG00000138050;ENSG00000127804;ENSG00000183665;ENSG00000123600;ENSG00000122435;ENSG00000007520;ENSG00000121486;ENSG00000059588;ENSG00000138385;ENSG00000169718;ENSG00000162971;ENSG00000091127;ENSG00000162851;ENSG00000145331;ENSG00000165055;ENSG00000130299;ENSG00000166199","geneontology_Biological_Process_noRedundant"
"GO:0006399","tRNA metabolic process",181,30,19.6922224684246,1.52344409312374,0.0121388102839232,1,"2926;3735;4677;6741;6894;7407;8518;9692;10557;23438;26024;51091;54482;54517;55039;55798;64118;79828;79897;80745;81627;81890;83707;84705;93587;112858;113179;129450;146857;283459","ENSG00000112855;ENSG00000204394;ENSG00000106246;ENSG00000109618;ENSG00000257218;ENSG00000070061;ENSG00000213339;ENSG00000100890;ENSG00000138050;ENSG00000154760;ENSG00000213638;ENSG00000183665;ENSG00000123600;ENSG00000122435;ENSG00000121486;ENSG00000059588;ENSG00000172315;ENSG00000134440;ENSG00000138385;ENSG00000169718;ENSG00000162971;ENSG00000152464;ENSG00000241370;ENSG00000091127;ENSG00000132463;ENSG00000065427;ENSG00000145331;ENSG00000165055;ENSG00000130299;ENSG00000149743","geneontology_Biological_Process_noRedundant"
"GO:1904837","beta-catenin-TCF complex assembly",26,7,2.8287170396632,2.47462008459972,0.0181831620866433,1,"1387;7089;7090;8085;8295;8313;51176","ENSG00000168646;ENSG00000138795;ENSG00000196367;ENSG00000005339;ENSG00000167548;ENSG00000140332;ENSG00000065717","geneontology_Biological_Process_noRedundant"
"GO:0007498","mesoderm development",58,12,6.31021493463328,1.90167848865791,0.0203689176497486,1,"92;268;657;2114;4089;8646;10320;10683;22806;51176;54517;57045","ENSG00000121989;ENSG00000107779;ENSG00000141646;ENSG00000185811;ENSG00000138795;ENSG00000090539;ENSG00000090932;ENSG00000161405;ENSG00000157557;ENSG00000091127;ENSG00000128791;ENSG00000104899","geneontology_Biological_Process_noRedundant"
"GO:0048854","brain morphogenesis",16,5,1.74074894748504,2.87232688391039,0.0236834639583956,1,"585;2176;2177;2309;5728","ENSG00000140463;ENSG00000144554;ENSG00000158169;ENSG00000118689;ENSG00000171862","geneontology_Biological_Process_noRedundant"
"GO:0006260","DNA replication",245,37,26.6552182583647,1.38809593083669,0.0239265061756939,1,"466;472;545;641;1663;1763;1877;4173;4437;4774;4782;4928;4999;5426;5428;5930;5931;6119;6419;7014;9126;9134;10036;10919;10926;11201;50484;50485;55294;57697;79991;83743;83990;144455;201973;348654;100526739","ENSG00000122257;ENSG00000110713;ENSG00000104738;ENSG00000178295;ENSG00000113318;ENSG00000006634;ENSG00000251503;ENSG00000167670;ENSG00000102054;ENSG00000141905;ENSG00000107960;ENSG00000115942;ENSG00000109670;ENSG00000138346;ENSG00000165891;ENSG00000164306;ENSG00000187790;ENSG00000170364;ENSG00000175305;ENSG00000106399;ENSG00000123268;ENSG00000138375;ENSG00000175054;ENSG00000197299;ENSG00000162599;ENSG00000140521;ENSG00000108055;ENSG00000136492;ENSG00000167967;ENSG00000048392;ENSG00000204371;ENSG00000177084;ENSG00000105447;ENSG00000149311;ENSG00000013573;ENSG00000101751;ENSG00000132604","geneontology_Biological_Process_noRedundant"
"GO:0007059","chromosome segregation",269,40,29.2663416795923,1.36675777375662,0.0244630490267115,1,"472;641;1663;2072;2177;4439;4751;5119;7153;7155;8313;8766;8940;9126;9134;9232;10051;10096;10783;11044;11331;23126;26993;27243;51203;55294;57405;57697;64682;79677;79903;81930;83990;113130;148479;151648;225689;246184;348654;100526739","ENSG00000168646;ENSG00000164611;ENSG00000113810;ENSG00000176386;ENSG00000117650;ENSG00000178295;ENSG00000153107;ENSG00000251503;ENSG00000181085;ENSG00000109670;ENSG00000187790;ENSG00000175305;ENSG00000119408;ENSG00000130724;ENSG00000131747;ENSG00000144554;ENSG00000100038;ENSG00000204410;ENSG00000175595;ENSG00000115091;ENSG00000197299;ENSG00000122390;ENSG00000137804;ENSG00000108055;ENSG00000136492;ENSG00000152253;ENSG00000163029;ENSG00000112941;ENSG00000121621;ENSG00000131165;ENSG00000149311;ENSG00000013573;ENSG00000215021;ENSG00000011243;ENSG00000143442;ENSG00000077097;ENSG00000146670;ENSG00000103769;ENSG00000129810;ENSG00000116273","geneontology_Biological_Process_noRedundant"
"GO:0032609","interferon-gamma production",34,8,3.69909151340572,2.16269318317959,0.0264625367763723,1,"558;1054;3554;8767;9636;11119;140885;161882","ENSG00000026950;ENSG00000104312;ENSG00000167601;ENSG00000198053;ENSG00000115594;ENSG00000187608;ENSG00000153879;ENSG00000179588","geneontology_Biological_Process_noRedundant"
