"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0048013","ephrin receptor signaling pathway",56,3,0.248171947706625,12.0883928571429,0.00189969400453149,1,"71;10097;26037","ENSG00000184009;ENSG00000197555;ENSG00000138071","geneontology_Biological_Process_noRedundant"
"GO:0016482","cytosolic transport",138,4,0.611566585419898,6.54057971014493,0.00312030519201645,1,"9559;10097;29062;55658","ENSG00000105875;ENSG00000122958;ENSG00000138071;ENSG00000070423","geneontology_Biological_Process_noRedundant"
"GO:0016197","endosomal transport",180,4,0.797695546199867,5.01444444444444,0.00798721729872798,1,"9230;9559;55658;163486","ENSG00000122958;ENSG00000070423;ENSG00000185236;ENSG00000213047","geneontology_Biological_Process_noRedundant"
"GO:0031032","actomyosin structure organization",113,3,0.500775537336583,5.99070796460177,0.0134861965849173,1,"71;3925;8500","ENSG00000184009;ENSG00000117632;ENSG00000131626","geneontology_Biological_Process_noRedundant"
"GO:0048285","organelle fission",350,5,1.55107467316641,3.22357142857143,0.0183921219285035,1,"900;1723;10097;54984;80179","ENSG00000254093;ENSG00000102967;ENSG00000138071;ENSG00000278259;ENSG00000113328","geneontology_Biological_Process_noRedundant"
"GO:0000910","cytokinesis",132,3,0.584976733879902,5.12840909090909,0.0203721198299287,1,"3925;10097;80179","ENSG00000138071;ENSG00000117632;ENSG00000278259","geneontology_Biological_Process_noRedundant"
"GO:0106027","neuron projection organization",59,2,0.261466873476623,7.64915254237288,0.0279496104186375,1,"10097;26037","ENSG00000197555;ENSG00000138071","geneontology_Biological_Process_noRedundant"
"GO:0050000","chromosome localization",65,2,0.288056725016619,6.94307692307692,0.0334183523142528,1,"10097;54984","ENSG00000254093;ENSG00000138071","geneontology_Biological_Process_noRedundant"
"GO:1903509","liposaccharide metabolic process",80,2,0.354531353866608,5.64125,0.0487140733280652,1,"427;128869","ENSG00000101464;ENSG00000104763","geneontology_Biological_Process_noRedundant"
"GO:0098876","vesicle-mediated transport to the plasma membrane",81,2,0.35896299578994,5.5716049382716,0.049810198675994,1,"9230;9559","ENSG00000122958;ENSG00000185236","geneontology_Biological_Process_noRedundant"
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",82,2,0.363394637713273,5.50365853658537,0.0509153108425595,1,"7216;91179","ENSG00000067445;ENSG00000244486","geneontology_Biological_Process_noRedundant"
"GO:0007618","mating",13,1,0.0576113450033237,17.3576923076923,0.0561404284672533,1,"7068","ENSG00000151090","geneontology_Biological_Process_noRedundant"
"GO:0019098","reproductive behavior",13,1,0.0576113450033237,17.3576923076923,0.0561404284672533,1,"7068","ENSG00000151090","geneontology_Biological_Process_noRedundant"
"GO:0035902","response to immobilization stress",14,1,0.0620429869266563,16.1178571428571,0.0603293092906538,1,"10097","ENSG00000138071","geneontology_Biological_Process_noRedundant"
"GO:0042092","type 2 immune response",14,1,0.0620429869266563,16.1178571428571,0.0603293092906538,1,"163486","ENSG00000213047","geneontology_Biological_Process_noRedundant"
"GO:0008356","asymmetric cell division",15,1,0.0664746288499889,15.0433333333333,0.0645000624673487,1,"10097","ENSG00000138071","geneontology_Biological_Process_noRedundant"
